id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,product_type,sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,children_school,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,shopping_centers_raion,office_raion,railroad_terminal_raion,big_market_raion,full_all,0_6_all,7_14_all,0_17_all,16_29_all,0_13_all,build_count_block,build_count_wood,build_count_frame,build_count_brick,build_count_before_1920,build_count_1921-1945,build_count_1946-1970,build_count_1971-1995,build_count_after_1995,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,school_km,park_km,green_zone_km,industrial_km,railroad_station_walk_km,railroad_station_walk_min,ID_railroad_station_walk,railroad_station_avto_km,railroad_station_avto_min,public_transport_station_km,public_transport_station_min_walk,kremlin_km,big_road1_km,big_road2_km,railroad_km,bus_terminal_avto_km,big_market_km,market_shop_km,fitness_km,swim_pool_km,ice_rink_km,stadium_km,basketball_km,public_healthcare_km,university_km,workplaces_km,shopping_centers_km,office_km,big_church_km
121,40830,51,31,12,NA,NA,NA,NA,NA,Investment,Vyhino-Zhulebino,15094874.77,219609,0.300284261,0.033493708,10167,10573,1322,3,0,8,1,no,no,1318695,10167,10573,25474,276143,19389,112,81,5,38,5,54,203,210,94,1.598100218,1.02755444,11.85379928,0.987816607,0.895697859,2.13832445,0.121873257,0.509988197,0.983467606,11.80161128,30,0.983467606,1.59214288,0.12087613,1.450513564,12.59036994,1.176470053,1.491623283,0.475093193,0.901021737,7.881886742,1.005625364,0.676006593,3.558235171,5.340928471,6.996456991,1.809213608,0.472826278,1.067787194,2.40099359,0.20290611,1.445652168,1.516908743
123,40830,57,33,2,NA,NA,NA,NA,NA,Investment,Silino,9780189.547,37807,0.371990002,0.136244425,2427,2370,NA,0,0,1,0,no,no,38075,2427,2370,5561,7365,4510,30,7,0,6,0,2,9,46,4,27.30196738,21.88627974,261.59431,21.79952584,0.221701087,17.23196157,0.200397686,0.432480964,2.071904344,24.86285212,28,2.455621444,3.807250962,0.195992824,2.351913892,37.90361367,3.722920936,7.486069664,0.432907819,28.40728065,43.32809909,2.351677588,0.85396353,5.437666136,5.379291175,29.05818333,15.29945657,2.363919223,3.041726274,2.726760588,0.778675456,1.00486381,4.498566448
125,40830,61,42,1,NA,NA,NA,NA,NA,Investment,Hamovniki,10071560.22,102726,0.048790576,0,6374,7538,4702,5,1,5,87,no,no,75377,6374,7538,16584,14705,13042,19,4,0,550,206,122,176,42,91,0.979569794,0.608073402,7.296880819,0.608073402,0.241424102,0.641178483,0.298218632,1.130329072,1.56329273,18.75951276,49,1.94484495,2.650534234,0.417412814,5.008953773,3.778450629,0.734352577,2.023323015,0.704182873,5.864688392,12.36605491,1.55871876,0.376926975,0.914553639,2.368867355,1.72671183,2.689468342,0.758613222,0.764725846,0.502274642,0.792577977,0.257395436,0.641178483
127,40830,48,31,5,NA,NA,NA,NA,NA,Investment,Donskoe,5686537.395,48439,0.073520961,0.000699,3229,3369,4129,0,0,3,24,no,no,91100,3229,3369,7917,17864,6237,36,0,0,135,6,27,116,27,14,3.049408861,1.250476922,9.950361041,0.829196753,0.616470738,2.383025754,0.269905002,0.628854956,2.439661595,29.27593914,42,2.275284627,4.330418505,0.235579178,2.826950134,6.12786558,0.531271065,0.884900914,0.203226667,5.253079399,8.079931348,2.524024062,0.548770442,1.700588653,7.691383836,2.905554832,0.201925411,2.802787445,2.206680147,1.82442849,0.752417088,0.586878678,0.554962365
131,40831,33,32,5,NA,NA,NA,NA,NA,Investment,Golovinskoe,8841267.454,100846,0.127511955,0.307466659,4566,5048,325,2,0,5,9,no,no,94564,4566,5048,11692,19935,9037,101,0,0,149,6,4,217,85,14,2.310429871,1.736568973,20.83882768,1.736568973,0.521269559,1.138278863,0.021416738,0.235152382,1.812789166,21.75347,54,1.812789166,2.265986455,0.120293751,1.443525006,12.44714801,2.448240105,2.494563205,0.716757115,10.02079105,20.05493478,2.817342116,0.25041599,2.559942717,3.177625448,3.219224328,1.324878356,0.947389519,1.274590316,0.781352952,1.801869035,0.84054849,1.493481515
146,40834,51,30,3,NA,NA,NA,NA,NA,Investment,Severnoe Izmajlovo,4190070.548,85083,0.051566848,0.034331497,5586,5487,NA,0,0,4,3,no,no,139322,5586,5487,12962,30010,10406,191,0,0,51,0,0,308,22,26,3.801465873,2.830316292,16.35343961,1.362786634,0.248595709,1.394583195,0.681773037,0.731622532,5.875539399,70.50647279,18,6.913491254,6.94999065,0.059348201,0.712178415,13.95951442,0.965277561,0.988123789,2.58883183,2.901251972,14.9732556,2.837024208,0.793252572,2.436860894,8.928535864,7.053848608,2.058206024,2.390165795,2.530432573,0.943205993,0.919453215,0.982141096,0.886021554
148,40834,117,108,20,NA,NA,NA,NA,NA,OwnerOccupier,Nagatino-Sadovniki,7750777.821,76284,0.094680962,0.313924552,4935,4625,3855,2,0,10,11,no,no,76156,4935,4625,11461,19547,8992,42,0,0,94,0,3,127,46,10,2.069019394,1.376969406,16.25752839,1.354794032,0.157044672,1.851824975,0.491644776,0.021013563,1.398848734,16.78618481,2,1.628628242,2.383592946,0.396588745,4.759064935,8.067295599,0.508591394,3.036495086,0.763199552,4.514141129,9.741633685,3.765614077,0.302093907,1.977455112,9.416800101,4.113928433,1.088215423,2.177425875,1.829861553,0.449639113,0.375801558,0.237372132,1.855742781
151,40835,30,18,3,NA,NA,NA,NA,NA,Investment,Ljublino,17881913.61,165727,0.260652636,0.133215333,10809,11395,1406,3,0,4,3,no,yes,89971,10809,11395,26333,23273,20866,58,0,0,209,0,20,193,154,94,0.656455896,0.358443911,4.30132693,0.358443911,0.58448733,1.37633226,0.241298497,1.672914979,2.582271268,30.98725522,17,2.582271268,3.495724752,0.130246448,1.562957378,11.71993975,2.8442609,4.04425011,1.824083099,8.548602963,1.664754649,2.428961043,0.316717565,1.39188718,3.980761724,4.76749108,1.038992682,0.39395477,0.911036757,1.305637138,0.318029095,1.320025316,1.049413449
173,40837,30,18,8,NA,NA,NA,NA,NA,Investment,Juzhnoportovoe,4579593.033,71715,0.040431201,0.21843974,4407,4472,1450,4,0,7,6,no,yes,101708,4407,4472,10624,21121,8279,18,0,0,162,0,22,149,24,22,1.870685231,1.258683479,15.10420174,1.258683479,0.785161655,3.350836834,0.512774907,0.50802238,2.161207762,25.93449314,65,2.203740177,3.626164106,0.106226198,1.274714376,5.788287122,0.482995947,2.119096983,0.498104068,6.823266891,3.047900393,1.543569014,0.763040917,3.51451588,5.129440761,2.162575992,0.312169684,0.421673349,2.440929337,0.896661695,0.440135848,0.64030217,0.938435852
175,40837,44,30,3,NA,NA,NA,NA,NA,Investment,Kuz'minki,7984443.568,142243,0.372734826,0.000995,7753,7651,NA,1,0,5,1,no,no,31167,7753,7651,18245,5829,14430,155,0,0,29,0,0,414,35,51,1.722594673,0.970077193,10.89426728,0.907855607,0.447311516,1.179957863,0.123075078,2.111277208,2.680076622,32.16091947,17,2.742298208,3.93787093,0.146088652,1.753063828,10.5333784,1.216328736,4.080165719,1.608361457,5.688994976,4.547412212,2.159014847,0.411601993,2.277104024,0.957209678,2.592388856,1.53144147,2.226167296,2.666074189,1.23949261,0.998838923,1.46775746,1.976177481
190,40840,37,19,10,NA,NA,NA,NA,NA,Investment,Ochakovo-Matveevskoe,17526506.21,118843,0.133372781,0.309479124,7454,7715,990,0,0,6,4,no,no,111023,7454,7715,18269,29595,14168,81,1,4,66,0,2,134,106,57,3.658362028,2.799772064,32.18940602,2.682450502,0.762062609,1.519618204,0.167511026,0.37555725,0.818460007,9.82152008,33,0.818460007,1.155135245,0.096878141,1.162537696,11.85950836,2.668666712,2.831789614,0.307440973,14.13243705,12.31180342,2.857039247,1.289914621,3.641791694,7.208666625,6.088120358,2.378721576,2.681352735,2.767683827,4.758003549,0.892597806,1.239368812,1.263559163
207,40842,72,45,10,NA,NA,NA,NA,NA,Investment,Krylatskoe,12164477.11,78507,0.297166335,0,4611,5067,NA,2,0,6,4,no,no,67710,4611,5067,10892,13540,9168,3,3,0,66,1,0,3,81,103,0.59886561,0.190256033,2.283072397,0.190256033,0.409577058,0.351520974,0.081600799,2.080245625,4.370488957,52.44586749,10,5.088991217,5.790437134,0.083029615,0.99635538,12.93967712,1.938706432,2.346353481,2.3942195,13.12826435,23.49289905,8.590629105,0.096107502,0.587381415,4.817934381,9.780030365,5.451830738,2.226984858,8.644009295,1.726549202,0.096107502,0.85300228,1.016894298
220,40843,58,31,5,NA,NA,NA,NA,NA,Investment,Filevskij Park,9629358.472,89467,0.343753988,0.23861713,3903,3889,705,3,0,6,6,no,no,112804,3903,3889,9249,23768,7332,26,16,7,170,1,10,179,67,38,1.523781494,0.943322948,10.01596692,0.83466391,0.200660706,0.782804493,0.175305178,0.671554514,2.698122298,32.37746758,48,2.929058568,4.258265714,0.118435626,1.421227513,7.584743358,0.767901947,2.595847678,0.305426514,10.94230725,16.94426771,5.724035532,0.182957281,1.712403327,2.102361269,1.466588668,0.332716054,0.520207648,2.180605139,3.441491835,0.595060166,0.730283212,1.757490631
222,40843,38,19,5,NA,NA,NA,NA,NA,Investment,Severnoe Medvedkovo,5725729.259,122873,0.141280723,0.175054867,8132,10055,NA,1,0,0,3,no,no,60315,8132,10055,21615,14780,16940,95,0,0,4,0,0,124,73,62,1.190150905,0.852850689,10.23420827,0.852850689,0.363149125,0.970725025,0.132043441,0.850998659,4.980588148,59.76705777,25,4.873379898,6.880635451,0.192296691,2.307560292,14.67565663,1.203629749,3.419517927,1.24313747,19.25377341,3.775196803,3.841042504,0.300769701,4.231728496,3.593345937,4.504919072,0.108140792,1.083560846,4.023066854,0.363149125,1.422742186,1.142932076,0.563119203
223,40844,93,54,5,NA,NA,NA,NA,NA,Investment,Kurkino,7792845.494,21155,0.528252203,0,2539,2733,920,0,0,4,0,no,no,942118,2539,2733,5971,197154,4971,37,116,29,164,14,45,86,8,357,8.258490218,5.041830407,58.6846277,4.890385642,0.156092078,0.486480903,0.231037349,1.671991318,4.39084754,52.69017048,41,4.457328634,6.217231464,0.070190354,0.842284245,20.40611928,2.240021491,2.26359809,2.744842981,10.50209663,21.45392506,5.165197582,0.627861286,2.185084467,4.614309677,9.512626612,3.261462229,5.067135747,10.41834009,4.870703264,0.329358268,1.564053367,0.785601882
225,40844,32,17,3,NA,NA,NA,NA,NA,Investment,Danilovskoe,12495435.25,91100,0.027650988,0.341071945,5947,5664,2300,3,0,11,48,no,no,102590,5947,5664,13855,24296,10869,47,0,0,288,21,86,198,44,8,2.983084527,1.405723852,16.0191278,1.334927317,0.348534954,2.550862599,0.147822259,0.875082121,1.425153713,17.10184455,36,3.138922541,4.8733994,0.19314172,2.317700639,4.612864516,0.257890257,0.356755762,0.534424045,3.71571991,7.536096267,0.986664573,0.92517875,1.456032898,6.048194964,2.361719751,1.717476181,2.165590397,0.344799741,1.093534921,0.457267684,0.186995522,0.333948571
228,40844,39,17,13,NA,NA,NA,NA,NA,Investment,Nekrasovka,11391678.48,19940,0.055643565,0.243204519,1706,1564,540,0,0,0,0,no,no,247469,1706,1564,3831,55710,3112,3,0,0,10,0,1,7,10,23,5.105168356,3.957788433,47.4934612,3.957788433,0.128311364,4.727433815,0.05078036,0.365121003,2.438375342,29.2605041,75,2.438375342,3.205901986,0.121986694,1.46384033,20.58034215,1.806377734,2.518169017,1.066754984,7.434695923,9.241646681,5.620686545,2.426499978,7.650153683,9.387200615,12.56920234,5.112359795,5.603503822,9.018200644,5.630257686,2.191728591,4.738207926,3.478867092
233,40844,41,21,9,NA,NA,NA,NA,NA,Investment,Vyhino-Zhulebino,15094874.77,219609,0.300284261,0.033493708,10167,10573,1322,3,0,8,1,no,no,1318695,10167,10573,25474,276143,19389,112,81,5,38,5,54,203,210,94,0.852655865,0.635096403,7.621156834,0.635096403,0.158557014,3.881274631,0,0.950387747,1.983386966,23.8006436,35,1.981057313,2.5801556,0.009643941,0.115727297,15.89174636,0.830804826,0.992546501,1.423650322,0.902947154,7.470483054,4.282055539,0.650227784,1.431549037,6.408847867,10.79803872,3.323556407,0.815396048,3.618935384,1.544544303,0.558080892,1.086874104,0.645094609
239,40845,44,28,3,NA,NA,NA,NA,NA,Investment,Jasenevo,24813850.39,174831,0.683844404,0.037177818,10712,11217,2300,1,0,7,1,no,no,178264,10712,11217,26209,45669,20530,16,5,0,2,0,2,7,159,7,1.25533783,0.690924633,8.2910956,0.690924633,0.371025394,0.587350417,0.018857376,1.181268364,12.0676668,144.8120016,42,10.88704328,10.85874451,0.148135771,1.777629251,16.00610427,2.16605528,2.48017949,5.623791619,2.927437504,5.383545622,1.432198162,0.249586156,1.86448728,2.87614849,7.265672676,2.397269984,1.869900909,5.0957559,1.334369168,0.249586156,1.845205364,1.125368703
240,40845,30,17,6,NA,NA,NA,NA,NA,Investment,Vojkovskoe,5333221.259,64931,0.074076708,0.16909109,3905,3856,NA,2,0,5,10,no,no,73148,3905,3856,9251,11699,7282,52,0,0,156,0,14,170,59,25,3.002550599,1.931696463,23.76041687,1.980034739,0.392169854,1.313564654,0.014319743,0.13220236,1.219974382,14.63969259,77,1.219974382,1.915958664,0.160245002,1.922940028,10.19081305,1.199981308,2.2187454,0.669479783,7.210315835,20.13098539,0.690353873,0.787420378,3.638610791,2.323543636,2.654141417,0.740789448,0.975130194,2.305356452,0.392169854,0.798045768,0.399752945,1.16064354
247,40847,45,29,2,NA,NA,NA,NA,NA,Investment,Orehovo-Borisovo Severnoe,7462269.563,129207,0.387099854,0.007720282,4669,4788,NA,0,0,4,2,no,no,77878,4669,4788,11313,17033,8791,14,5,0,2,2,3,1,135,11,2.772236217,1.43600419,17.23205028,1.43600419,0.153466715,1.462926751,0.452936258,1.072637212,2.990115433,35.88138519,29,2.990115433,4.714875254,0.239442899,2.873314784,15.23694192,3.278125922,3.278125922,1.57169832,1.072223683,2.688626972,1.406523411,0.619083081,2.904887573,3.386800025,3.965907215,2.776886478,3.620953663,3.538442385,0.360832049,0.619083081,0.811662357,0.971811732
253,40847,57,42,7,NA,NA,NA,NA,NA,Investment,Sviblovo,4441296.195,60315,0.137975734,0.178916796,3694,3594,192,1,0,5,4,no,no,37502,3694,3594,8741,7290,6859,58,0,0,61,0,0,123,30,24,1.105880374,0.485428545,5.825142542,0.485428545,0.333533234,1.427772716,0.272730187,0.290698161,2.262263447,27.14716136,78,2.717468484,4.99313068,0.198166295,2.377995536,11.27085255,1.161122364,1.195906981,0.941887173,12.22477811,6.411022697,3.203785749,0.671759172,2.727534167,2.650830072,3.585962187,1.453396964,1.670944088,0.831417462,1.226340411,0.383105729,0.284025463,0.385144641
257,40848,43,29,5,NA,NA,NA,NA,NA,Investment,Koptevo,4787424.272,96959,0.03845587,0.122090347,6507,6566,1894,4,0,0,7,no,no,78810,6507,6566,15510,17662,12269,101,2,0,216,1,9,290,39,51,2.6485421,1.975895103,18.98294843,1.581912369,0.101507804,1.558777158,0.025432611,0.168061053,1.173503349,14.08204019,77,1.173503349,1.736263369,0.053345594,0.64014713,10.15362992,1.512425747,2.415611473,0.742051011,7.373963206,19.69055835,0.249926832,0.572885378,3.592139758,1.883116595,2.213714376,0.715767358,0.824643358,2.375734661,0.53263861,1.102901973,0.353476944,0.848390834
258,40848,44,20,8,NA,NA,NA,NA,NA,Investment,Pechatniki,18445806.5,83369,0.030696593,0.428825818,4615,5011,730,0,0,2,8,no,no,43795,4615,5011,11726,8822,8970,53,22,0,114,4,12,155,103,24,0.806275832,0.301075232,3.61290278,0.301075232,0.422632652,1.162936141,0.400846226,0.663818855,1.900560202,22.80672242,17,2.210864342,3.484658986,0.042388492,0.50866191,9.255590411,1.939968432,3.55593925,0.24145333,10.22498552,5.422878682,1.906351433,0.940190175,2.872488009,3.33863185,4.283646123,2.543411518,3.950024846,0.715792207,2.689025476,0.15075232,0.882085169,2.29142314
270,40849,32,18,3,NA,NA,NA,NA,NA,Investment,Chertanovo Juzhnoe,9282438.657,143661,0.153279465,0.127375905,8356,8429,NA,3,0,9,3,no,no,112221,8356,8429,19887,22516,15922,41,2,0,16,0,1,14,188,19,3.393495338,2.087492085,21.8773322,1.823111016,0.575682853,1.997632326,0.090550419,1.688838647,3.402405982,40.82887178,73,3.607537417,6.476240768,0.242842645,2.914111734,16.08384452,1.188629364,2.730219289,2.285085701,5.812027017,13.716476,6.634104732,1.05968975,4.485889359,8.061274356,15.3915631,1.05968975,0.840621951,7.35362471,0.82692822,1.07078495,1.07078495,1.691493019
273,40849,38,19,7,NA,NA,NA,NA,NA,Investment,Mar'ino,11754772.16,247469,0.188712765,0.090799103,19223,19083,NA,5,0,15,2,no,no,165727,19223,19083,45170,35793,36035,3,0,0,4,0,0,0,176,176,2.158137705,1.213543017,14.28021072,1.19001756,0.106361832,0.743404556,0.03556423,1.565750993,3.044229335,36.53075202,16,3.044724601,4.447114661,0.053035833,0.636429991,13.90351433,3.929314,5.499064161,2.283783497,5.87556025,5.76496331,1.079917509,0.340795467,1.543682871,2.173010618,7.474404773,3.355794823,0.244995258,4.217474267,2.963729622,0.717438663,1.40143064,0.846375714
277,40850,38,22,3,NA,NA,NA,NA,NA,Investment,Kon'kovo,7811375.434,153248,0.127002383,0.135649789,7517,7960,350,3,0,11,6,no,no,123000,7517,7960,19439,24753,14528,44,0,0,7,0,0,156,126,33,2.11538599,1.40426647,16.57426969,1.381189141,0.768193081,3.250364181,0.080716783,0.573819077,9.206669769,110.4800372,33,9.271148365,11.97557508,0.075787199,0.909446392,12.95012319,3.441501994,4.309180337,5.04384416,5.481800398,2.539098602,0.295673945,0.175546727,1.711233874,2.628277422,3.539299255,3.808196822,0.906559664,1.369382479,3.261197558,0.402445245,0.702498301,1.955099004
285,40850,40,22,1,NA,NA,NA,NA,NA,Investment,Danilovskoe,12495435.25,91100,0.027650988,0.341071945,5947,5664,2300,3,0,11,48,no,no,102590,5947,5664,13855,24296,10869,47,0,0,288,21,86,198,44,8,0.921261001,0.456913194,5.482958326,0.456913194,0.276667466,1.493268081,0.312692652,1.165165352,2.740147916,32.881775,42,2.748244628,3.505853861,0.242936393,2.915236715,3.536953341,1.326564865,1.339324142,1.443920279,2.967202456,9.324900456,1.940315698,0.516191862,0.916515856,5.29967751,3.151963745,1.447417947,1.664286242,1.280822559,0.294914628,0.79176695,0.14257973,0.590791796
297,40852,44,28,6,NA,NA,NA,NA,NA,Investment,Nagatinskij Zaton,9589336.912,115352,0.372602044,0.049637257,6880,7759,229,1,0,3,0,no,no,76284,6880,7759,17700,15164,13729,83,1,0,67,1,1,143,84,15,2.46884876,1.433813922,17.20576707,1.433813922,0.204761051,0.633644978,0.212901273,0.878768736,4.353901982,52.24682378,2,4.587706223,6.411214125,0.193546188,2.322554251,8.608324828,3.000800719,3.00994226,0.714712112,6.652046865,7.496416753,4.370649723,0.828046549,1.961774894,9.558671871,6.804136977,1.030029534,1.726230395,2.798493877,0.612501326,0.591372946,0.812065777,1.126732583
300,40854,32,18,3,NA,NA,NA,NA,NA,Investment,Zjuzino,5391434.257,123000,0.079151397,0,6715,6714,2672,0,2,2,2,no,no,76670,6715,6714,15947,16001,12653,223,0,0,45,0,0,298,64,38,2.157750671,1.630098104,19.48523532,1.62376961,0.287317608,1.5504202,0.072250067,1.688272259,5.154965638,61.85958765,2,6.106893489,7.901557644,0.091919827,1.103037926,10.16468023,2.155429505,4.035698157,2.331635191,5.936366707,6.932837622,1.589826382,0.763936365,1.963485046,6.646033358,7.445330848,3.667702189,1.50857619,1.88103239,3.017790586,0.882071757,1.126014503,0.307796867
317,40855,56,55,7,NA,NA,NA,NA,NA,Investment,Sokol,3496889.653,57107,0.067926965,0.174739084,2982,3379,100,0,0,3,9,no,no,57995,2982,3379,7887,12073,5981,17,42,14,250,0,110,199,10,17,1.253980829,0.744057923,6.738852393,0.561571033,0.596469543,0.557891293,0.068834518,0.400777537,1.467945334,17.61534401,40,1.412363154,2.294715394,0.077330955,0.927971463,8.602199535,0.302309164,0.30394325,0.791275555,3.465247253,17.02970917,1.815642555,0.895023927,1.543209559,2.536127567,1.963624014,2.179764185,2.251852485,1.443203049,0.640145433,0.458456402,0.523987639,0.29088345
